rn	Percent.Contamination.Decontam
1.Day.0	0.715912238052743
1.Day.6	0.00091558863488688
1.Hide.Day.6	0.0019620196201962
2.Day.0	0.86270975674505
2.Day.6	0.00157792251393272
2.Hide.Day.6	0.00175072178880767
3.Day.0	0.806420303400676
3.Day.6	0.00531711555169418
3.Hide.Day.6	0.00159070641825938
4.Day.0	0.731557667196325
4.Day.6	0.699312395465527
4.Hide.Day.6	0.0144316603848443
5.Day.0	0.339352446156041
5.Day.6	0.790265254311477
5.Hide.Day.6	0.0155976581909309
6.Day.0	0.79459249570833
6.Day.6	0.870433591593925
6.Hide.Day.6	0.00420132761952777
U.Hide.1	0.0202851113312373
U.Hide.2	0.00706054211978575
U.Hide.3	0.0114190317195326
