rn	Percent.Contamination.Decontam
1.Day.6	0.00184194064085633
1.Hide.Day.6	0.00166816685839001
2.Day.6	0
2.Hide.Day.6	0.00236322816967978
3.Day.6	0.00667271381356021
3.Hide.Day.6	0.00118160176545205
4.Day.0	0.0399528947231699
4.Day.6	0.0019506248095093
4.Hide.Day.6	0.00412252997568406
5.Day.0	0.00654352547280789
5.Day.6	0.00241840511440108
5.Hide.Day.6	0.00334352345182985
6.Day.0	0.00340443480356712
6.Day.6	0.00268370607028754
6.Hide.Day.6	0
U.Hide.1	0.00382195194053803
U.Hide.2	0.000281976481072764
U.Hide.3	0.00298510581973723
