value	L1
K11006	M00852
K11007	M00852
K03221	M00850
K03219	M00850
K03222	M00850
K03226	M00850
K03227	M00850
K03228	M00850
K03229	M00850
K03230	M00850
K03224	M00850
K03225	M00850
K12784	M00850
K12787	M00850
K12785	M00850
K12786	M00850
K12788	M00850
K16041	M00850
K16042	M00850
K15842	M00542
K12086	M00542
K12088	M00542
K12089	M00542
K12090	M00542
K03196	M00542
K12091	M00542
K12093	M00542
K12094	M00542
K12095	M00542
K12096	M00542
K12097	M00542
K12098	M00542
K12101	M00542
K12102	M00542
K12103	M00542
K12104	M00542
K12105	M00542
K12106	M00542
K12107	M00542
K12108	M00542
K12109	M00542
K12110	M00542
K11023	M00363
K11025	M00363
K11026	M00363
K11027	M00363
K22944	M00853
K11004	M00853
K07389	M00853
K11003	M00853
K12340	M00853
K10928	M00576
K10929	M00576
K16883	M00576
K16884	M00576
K10928	M00856
K10929	M00856
K10954	M00856
K10952	M00856
K10953	M00856
K10948	M00856
K11018	M00856
K10961	M00857
K10920	M00857
K10919	M00857
K10930	M00857
K10931	M00857
K10962	M00857
K10932	M00857
K10963	M00857
K10933	M00857
K10964	M00857
K10965	M00857
K10934	M00857
K10935	M00857
K10966	M00857
K22850	M00575
K22852	M00575
K22853	M00575
K22854	M00575
K11014	M00574
K11023	M00574
K19298	M00574
K22918	M00574
K22914	M00564
K22926	M00564
K22925	M00564
K22915	M00564
K22916	M00564
K22917	M00564
K22924	M00564
K22921	M00564
K22923	M00564
K22922	M00564
K11030	M00859
K08645	M00859
K11029	M00859
K22976	M00860
K22977	M00860
K22980	M00860
K07282	M00860
K22116	M00860
K01932	M00860
K22981	M00860
