type	ko	gene	name
Toxin	K00776	tox	NAD-diphthamide ADP-ribosyltransferase [EC:2.4.2.36]
Toxin	K10928	ctxA	cholera enterotoxin subunit A [EC:2.4.2.36]
Toxin	K10929	ctxB	cholera enterotoxin subunit B
Toxin	K11020	toxA	exotoxin A [EC:2.4.2.-]
Toxin	K16635	exoS	exoenzyme S
Toxin	K16636	exoT	exoenzyme T
Toxin	K11023	"ptxA, artA, pltA"	pertussis toxin subunit 1 [EC:2.4.2.-]
Toxin	K11024	ptxB	pertussis toxin subunit 2
Toxin	K11025	ptxC	pertussis toxin subunit 3
Toxin	K11026	ptxD	pertussis toxin subunit 4
Toxin	K11027	ptxE	pertussis toxin subunit 5
Toxin	K11023	"ptxA, artA, pltA"	pertussis toxin subunit 1 [EC:2.4.2.-]
Toxin	K19298	"subB, artB, pltB"	"subtilase cytotoxin, subunit B"
Toxin	K11044	spyA	C3 family ADP-ribosyltransferase [EC:2.4.2.-]
Toxin	K06011	boNT	botulinum neurotoxin [EC:3.4.24.69]
Toxin	K16623	ntnH	botulinum neurotoxin type non-toxic component
Toxin	K16624	ha-33	main hemagglutinin component
Toxin	K16625	ha-17	hemagglutinin component HA-17
Toxin	K16626	ha-70	hemagglutinin components HA-22/23/53
Toxin	K08644	tetX	tentoxilysin [EC:3.4.24.68]
Toxin	K08645	lef	anthrax lethal toxin endopeptidase [EC:3.4.24.83]
Toxin	K11030	pagA	protective antigen
Toxin	K11029	cyaA	anthrax edema toxin adenylate cyclase [EC:4.6.1.1]
Toxin	K11030	pagA	protective antigen
Toxin	K22944	cyaA	bifunctional hemolysin/adenylate cyclase [EC:4.6.1.1]
Toxin	K16637	"K16637, exoY"	adenylate cyclase ExoY
Toxin	K10954	zot	zona occludens toxin
Toxin	K11006	stxA	shiga toxin subunit A
Toxin	K11007	stxB	shiga toxin subunit B
Toxin	K19297	subA	"subtilase cytotoxin, subunit A"
Toxin	K19298	"subB, artB, pltB"	"subtilase cytotoxin, subunit B"
Toxin	K11008	cnf1	cytotoxic necrotizing factor 1
Toxin	K11011	set1A	enterotoxin Set1A
Toxin	K11012	set1B	enterotoxin Set1B
Toxin	K11028	vacA	vacuolating cytotoxin
Toxin	K11013	cdtA	cytolethal distending toxin subunit A
Toxin	K11014	cdtB	cytolethal distending toxin subunit B
Toxin	K11015	cdtC	cytolethal distending toxin subunit C
Toxin	K11041	eta	exfoliative toxin A/B
Toxin	K11063	tcdAB	toxin A/B
Toxin	K19615	"fitD, mcf"	insecticidal toxin
Toxin	K11021	tccC	insecticidal toxin complex protein TccC
Toxin	K16883	sta	heat-stable enterotoxin STa/STI
Toxin	K16884	stb	heat-stable enterotoxin STb/STII
Toxin	K11014	cdtB	cytolethal distending toxin subunit B
Toxin	K11023	"ptxA, artA, pltA"	pertussis toxin subunit 1 [EC:2.4.2.-]
Toxin	K19298	"subB, artB, pltB"	"subtilase cytotoxin, subunit B"
Toxin	K10948	hlyA	hemolysin
Toxin	K11031	slo	thiol-activated cytolysin
Toxin	K11032	hlyII	hemolysin II
Toxin	K11038	"hlg, luk"	leukocidin/hemolysin toxin family protein
Toxin	K11058	cpe	enterotoxin Cpe
Toxin	K10953	rtxA	RTX toxin RtxA
Toxin	K11005	hlyA	hemolysin A
Toxin	K11022	"rtxA1, rtxA"	structural toxin protein (hemagglutinin/hemolysin) RtxA
Toxin	K03699	tlyC	"magnesium and cobalt exporter, CNNM family"
Toxin	K10952	ace	accessory cholera enterotoxin
Toxin	K11016	"shlA, hhdA, hpmA"	hemolysin
Toxin	K11017	"shlB, hhdB, hpmB"	hemolysin activation/secretion protein
Toxin	K11019	tdh	thermostable direct hemolysin
Toxin	K11028	vacA	vacuolating cytotoxin
Toxin	K11033	nheA	non-hemolytic enterotoxin A
Toxin	K11034	nheBC	non-hemolytic enterotoxin B/C
Toxin	K11035	hblAB	hemolysin BL binding component
Toxin	K11036	hblC	hemolysin BL lytic component L2
Toxin	K11037	hblD	hemolysin BL lytic component L1
Toxin	K11039	hld	delta-hemolysin
Toxin	K11045	cfa	cAMP factor
Toxin	K11046	sagA	streptolysin S associated protein
Toxin	K11052	cylE	CylE protein
Toxin	K11068	hlyIII	hemolysin III
Toxin	K11139	"hlyE, clyA, sheA"	hemolysin E
Toxin	K01114	plc	phospholipase C [EC:3.1.4.3]
Toxin	K16619	"plc, cpa"	phospholipase C / alpha-toxin [EC:3.1.4.3]
Toxin	K11018	tlh	thermolabile hemolysin
Toxin	K16638	exoU	exoenzyme U
Toxin	K11010	ympA	superantigen YpmA
Toxin	K11040	se	staphylococcal enterotoxin
Toxin	K11041	eta	exfoliative toxin A/B
Toxin	K11043	tst	toxic shock syndrome toxin-1
Toxin	K23550	nanH	sialidase [EC:3.2.1.18]
Toxin	K01197	hya	hyaluronoglucosaminidase [EC:3.2.1.35]
Toxin	K01387	colA	microbial collagenase [EC:3.4.24.3]
Toxin	K08587	cloSI	clostripain [EC:3.4.22.8]
Toxin	K11009	ymt	murine toxin
Toxin	K10814	hcnA	hydrogen cyanide synthase HcnA [EC:1.4.99.5]
Toxin	K10815	hcnB	hydrogen cyanide synthase HcnB [EC:1.4.99.5]
Toxin	K10816	hcnC	hydrogen cyanide synthase HcnC [EC:1.4.99.5]
Toxin	K11057	cpb2	beta2-toxin
Toxin	K11059	entA	probable enterotoxin A
Toxin	K11060	entB	probable enterotoxin B
Toxin	K11061	entC	probable enterotoxin C
Toxin	K11062	entD	probable enterotoxin D
Toxin	K15126	bteA	type III secretion system cytotoxic effector protein
Toxin	K11042	ssl1	superantigen-like protein 1
Toxin	K23587	ssl5_11	superantigen-like protein 5/11
Toxin	K23586	"ssl7, set1"	superantigen-like protein 7
Bacterial invasion of epithelial cells	K13730		internalin A
Bacterial invasion of epithelial cells	K13731		internalin B
Bacterial invasion of epithelial cells	K13732		fibronectin-binding protein A
Bacterial invasion of epithelial cells	K13733		fibronectin-binding protein B
Bacterial invasion of epithelial cells	K13925		plasmin and fibronectin-binding protein A
Bacterial invasion of epithelial cells	K13734		fibronectin-binding protein 1
Bacterial invasion of epithelial cells	K13735		adhesin/invasin
Bacterial invasion of epithelial cells	K05689		"cadherin 1, type 1, E-cadherin"
Bacterial invasion of epithelial cells	K02105		catenin beta 1
Bacterial invasion of epithelial cells	K05691		catenin alpha
Bacterial invasion of epithelial cells	K13736		Rho GTPase-activating protein 10
Bacterial invasion of epithelial cells	K05099		proto-oncogene tyrosine-protein kinase Met [EC:2.7.10.1]
Bacterial invasion of epithelial cells	K09593		GRB2-associated-binding protein 1
Bacterial invasion of epithelial cells	K02649		phosphoinositide-3-kinase regulatory subunit alpha/beta/delta
Bacterial invasion of epithelial cells	K00922		"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta [EC:2.7.1.153]"
Bacterial invasion of epithelial cells	K04438		C-crk adapter molecule crk
Bacterial invasion of epithelial cells	K13708		dedicator of cytokinesis protein 1
Bacterial invasion of epithelial cells	K04393		cell division control protein 42
Bacterial invasion of epithelial cells	K04392		Ras-related C3 botulinum toxin substrate 1
